,scenario_name,volume_inicial,n_years_successful,energy_mean,energy_std,energy_min,energy_max,volume_final_mean,volume_final_std,success_rate
Muy_Seco,Muy_Seco,800.0,41,3726.465775510758,643.066427743432,2149.0205156185098,5068.178798039458,1962.882776653732,470.5389560309671,100.0
Seco,Seco,1000.0,41,3834.1642187529774,641.9251366423672,2313.8188269334973,5144.895948492582,2116.9729001092574,470.65398526229404,100.0
Normal,Normal,1400.0,41,6479.500638987884,628.9249319961394,4904.664076603273,7673.73053607342,1689.2476274695157,477.90436460028076,100.0
Humedo,Humedo,1800.0,41,7325.148681435011,630.7299359214633,5576.212356817344,8453.885058554915,1792.1277188518636,469.7960452958916,100.0
Muy_Humedo,Muy_Humedo,2200.0,41,9150.213831902154,590.2570497983496,7490.69029854821,10136.055321758575,1595.7043577280024,463.77789952009033,100.0
