scenario,volume_inicial,year,energy_total,volume_final,status
Muy_Seco,800.0,1980,4613.61234461241,2565.093021368942,OK
Muy_Seco,800.0,1981,3797.0165161408268,2088.9868829542975,OK
Muy_Seco,800.0,1982,5068.178798039458,2852.6080826033035,OK
Muy_Seco,800.0,1983,3399.569485312566,1727.0970015561604,OK
Muy_Seco,800.0,1984,4075.1353903381146,2301.10820665336,OK
Muy_Seco,800.0,1985,3554.7172166619307,1847.011849984289,OK
Muy_Seco,800.0,1986,4381.64907515895,2469.3541428862613,OK
Muy_Seco,800.0,1987,3952.9803233838998,2070.848327896217,OK
Muy_Seco,800.0,1988,3535.10869636111,1704.9131671487673,OK
Muy_Seco,800.0,1989,2964.1181847598737,1462.497749927277,OK
Muy_Seco,800.0,1990,3376.603778844151,1602.028561014456,OK
Muy_Seco,800.0,1991,4147.436638894546,2234.4509905905743,OK
Muy_Seco,800.0,1992,4440.064979571232,2331.699168967517,OK
Muy_Seco,800.0,1993,4897.914916765918,2771.6796060003894,OK
Muy_Seco,800.0,1994,4044.58790442983,2170.6742256446832,OK
Muy_Seco,800.0,1995,3514.568014317815,1855.333267466517,OK
Muy_Seco,800.0,1996,4088.7710847346866,2176.51481491523,OK
Muy_Seco,800.0,1997,4647.712371378547,2649.8986198076627,OK
Muy_Seco,800.0,1998,2149.0205156185098,888.9449591738751,OK
Muy_Seco,800.0,1999,3442.199728803311,1845.731853648736,OK
Muy_Seco,800.0,2000,4425.673808882543,2423.214715240056,OK
Muy_Seco,800.0,2001,4270.442808180364,2529.560848698962,OK
Muy_Seco,800.0,2002,4646.2144133569855,2639.77238326731,OK
Muy_Seco,800.0,2003,3420.350979866504,1807.725775214784,OK
Muy_Seco,800.0,2004,3524.586687215344,1789.3811130697338,OK
Muy_Seco,800.0,2005,4301.129393724324,2426.2781510837926,OK
Muy_Seco,800.0,2006,4403.418870368702,2589.4140119209383,OK
Muy_Seco,800.0,2007,2751.179340226629,1343.5762312326149,OK
Muy_Seco,800.0,2008,3581.0393959466146,1890.0553410963778,OK
Muy_Seco,800.0,2009,4028.229017114094,2082.143964118113,OK
Muy_Seco,800.0,2010,2872.651685128339,1374.6896601436854,OK
Muy_Seco,800.0,2011,3558.0355894591794,1811.7020553362968,OK
Muy_Seco,800.0,2012,3038.637413912202,1360.6238698852148,OK
Muy_Seco,800.0,2013,3182.359869012782,1683.9377094994575,OK
Muy_Seco,800.0,2014,3599.077996699447,1917.4859460484595,OK
Muy_Seco,800.0,2015,3267.5399217110316,1789.3976308851097,OK
Muy_Seco,800.0,2016,2974.5677752956867,1005.3943127663819,OK
Muy_Seco,800.0,2017,3469.1173086744557,1736.8378756009542,OK
Muy_Seco,800.0,2018,3306.1039751040503,1688.0816555184053,OK
Muy_Seco,800.0,2019,3024.8350229467837,1558.2050564051106,OK
Muy_Seco,800.0,2020,3048.93955898732,1414.2410355627326,OK
Seco,1000.0,1980,4772.536839555029,2706.316885486695,OK
Seco,1000.0,1981,3883.031512154448,2248.6225871002684,OK
Seco,1000.0,1982,5144.895948492582,3013.9010252264393,OK
Seco,1000.0,1983,3484.9724230282695,1887.3655722704443,OK
Seco,1000.0,1984,4159.138081320699,2461.769779158355,OK
Seco,1000.0,1985,3715.709592108528,1988.0310931167528,OK
Seco,1000.0,1986,4505.282918785047,2617.492250240886,OK
Seco,1000.0,1987,4038.800398943337,2230.6323357020756,OK
Seco,1000.0,1988,3621.0651364701293,1864.9224593848821,OK
Seco,1000.0,1989,3128.680031845476,1602.398438171806,OK
Seco,1000.0,1990,3460.8646328581435,1762.218170320671,OK
Seco,1000.0,1991,4310.087879821923,2374.1691708609064,OK
Seco,1000.0,1992,4520.317154339157,2492.514361130176,OK
Seco,1000.0,1993,5035.191044704519,2916.3533975169466,OK
Seco,1000.0,1994,4163.71811936024,2322.187825634388,OK
Seco,1000.0,1995,3602.7389449739294,2014.9432837745085,OK
Seco,1000.0,1996,4170.533605858383,2337.261691616236,OK
Seco,1000.0,1997,4808.969364255996,2789.543614345247,OK
Seco,1000.0,1998,2313.8188269334973,1027.290213288729,OK
Seco,1000.0,1999,3530.2671349380707,2005.06261486056,OK
Seco,1000.0,2000,4510.5460178839885,2582.812435183459,OK
Seco,1000.0,2001,4373.307954344215,2684.104772587097,OK
Seco,1000.0,2002,4725.805346667532,2800.9173664096134,OK
Seco,1000.0,2003,3584.8922409729366,1947.533082329635,OK
Seco,1000.0,2004,3612.797818972035,1948.9692705034713,OK
Seco,1000.0,2005,4468.370268807365,2564.3407656779736,OK
Seco,1000.0,2006,4488.081880809891,2748.9471493585665,OK
Seco,1000.0,2007,2837.748804689909,1503.2407644999153,OK
Seco,1000.0,2008,3668.829987713134,2049.7297600294823,OK
Seco,1000.0,2009,4113.580959742698,2242.493218765338,OK
Seco,1000.0,2010,3038.3974265873685,1514.2862543434026,OK
Seco,1000.0,2011,3643.822884623874,1971.8145921793196,OK
Seco,1000.0,2012,3189.269854718539,1504.6588924104922,OK
Seco,1000.0,2013,3271.187005693417,1843.190921524781,OK
Seco,1000.0,2014,3687.0565251327166,2076.8487138724627,OK
Seco,1000.0,2015,3353.266585656984,1949.4598286343996,OK
Seco,1000.0,2016,3064.7675077938693,1163.9011920121634,OK
Seco,1000.0,2017,3554.7550660419074,1896.749780038426,OK
Seco,1000.0,2018,3394.7211926484392,1847.4490085968491,OK
Seco,1000.0,2019,3113.6697601704805,1717.4541357246226,OK
Seco,1000.0,2020,3135.2382884533713,1573.9902305911123,OK
Normal,1400.0,1980,7418.647823260036,2279.8271644724755,OK
Normal,1400.0,1981,6612.333408465728,1768.069925685122,OK
Normal,1400.0,1982,7673.73053607342,2628.6701282160825,OK
Normal,1400.0,1983,6118.662777669322,1481.7270469105367,OK
Normal,1400.0,1984,6782.056875477816,2054.638756883271,OK
Normal,1400.0,1985,6352.641078161647,1580.6935890486648,OK
Normal,1400.0,1986,7152.976806590278,2207.863919887017,OK
Normal,1400.0,1987,6738.78952229989,1806.0255531824714,OK
Normal,1400.0,1988,6265.113255336651,1454.3667700193346,OK
Normal,1400.0,1989,5741.0315892301405,1168.6983304813882,OK
Normal,1400.0,1990,6074.358860585167,1351.1659259677276,OK
Normal,1400.0,1991,6904.877216442896,1939.9053956646042,OK
Normal,1400.0,1992,7104.168891819928,2069.2246784385775,OK
Normal,1400.0,1993,7607.062817005866,2530.6964404345467,OK
Normal,1400.0,1994,6765.53142334097,1897.0231474390291,OK
Normal,1400.0,1995,6281.721831448102,1578.4911746153832,OK
Normal,1400.0,1996,6811.903459252417,1933.1036795495081,OK
Normal,1400.0,1997,7394.907771123403,2368.8528635178122,OK
Normal,1400.0,1998,4904.664076603273,615.5717483709813,OK
Normal,1400.0,1999,6183.8733158938785,1567.822997492287,OK
Normal,1400.0,2000,7196.494378554984,2165.0517204634034,OK
Normal,1400.0,2001,7019.248916595111,2238.7307339258155,OK
Normal,1400.0,2002,7382.154168361654,2378.241007026219,OK
Normal,1400.0,2003,6197.065146137375,1512.4526438296418,OK
Normal,1400.0,2004,6306.766359220733,1495.8765868359842,OK
Normal,1400.0,2005,7101.200042568075,2158.346431252956,OK
Normal,1400.0,2006,7165.873327569772,2319.3305124595636,OK
Normal,1400.0,2007,5513.984506287296,1060.6730315686991,OK
Normal,1400.0,2008,6405.958977565291,1592.9082354863253,OK
Normal,1400.0,2009,6729.119932035037,1842.0637076202675,OK
Normal,1400.0,2010,5681.9641516058055,1105.3754176394991,OK
Normal,1400.0,2011,6287.284756152916,1557.492865160599,OK
Normal,1400.0,2012,5878.199374667031,1065.4918014966156,OK
Normal,1400.0,2013,5967.490214093562,1400.5655336656635,OK
Normal,1400.0,2014,6394.372961486145,1620.9845747173567,OK
Normal,1400.0,2015,6057.637386836559,1484.0297931845723,OK
Normal,1400.0,2016,5740.605092591834,725.7220563346405,OK
Normal,1400.0,2017,6172.5566595837545,1487.440071244631,OK
Normal,1400.0,2018,5988.588935473034,1369.103774032951,OK
Normal,1400.0,2019,5824.653582818163,1262.7863699139716,OK
Normal,1400.0,2020,5759.253992218269,1134.0466221139573,OK
Humedo,1800.0,1980,8298.433479792104,2370.354553498959,OK
Humedo,1800.0,1981,7499.365415879988,1880.6486615638255,OK
Humedo,1800.0,1982,8426.118514219732,2704.3212293163606,OK
Humedo,1800.0,1983,6999.7255345092835,1560.3656912878364,OK
Humedo,1800.0,1984,7605.84810898061,2146.900194071366,OK
Humedo,1800.0,1985,7235.945976014361,1691.1963036578122,OK
Humedo,1800.0,1986,7949.291803540615,2289.654298270437,OK
Humedo,1800.0,1987,7565.742026365759,1923.9703024421747,OK
Humedo,1800.0,1988,7069.909171046399,1508.1205434916274,OK
Humedo,1800.0,1989,6643.1872356744725,1274.5750218416115,OK
Humedo,1800.0,1990,6935.803390651977,1431.3041103970847,OK
