mes,cota_msnm
12,1323.2831229737867
1,1323.3447089255458
2,1323.1124857146572
3,1321.995878523174
4,1321.572752508759
5,1320.8336378777853
6,1320.3420365303007
7,1319.6327399153731
8,1319.264825059082
9,1318.62131004344
10,1318.4624848571339
11,1317.4093056978388
