mes,cota_msnm
12,1324.3903020460239
1,1323.069367442821
2,1321.8849725528191
3,1320.1108880270463
4,1321.8149645905798
5,1324.16420723696
6,1324.4897598059238
7,1322.5734665765033
8,1322.2037747393924
9,1322.7437164538608
10,1320.4841960408264
11,1319.0482466035473
