V0,success_rate,avg_total_energy,avg_annual_energy,avg_toro_usage,avg_final_volume,std_final_volume,tiempo_colchones_%,uso_presupuestos_%,deficit_max_hm3,deficit_prom_hm3,deficit_sum_hm3,deficit_pct,factor_utilizacion_%,cota_mensual,num_kpis,num_total
1000.00,100.00,48897.31,4889.73,3223.67,1327.14,340.54,"{'Inferior': 30.833333333333332, 'Transicion': 6.249999999999999, 'Intermedio': 42.91666666666667, 'Superior': 19.583333333333332}","{'riego': 27.693718879988115, 'generacion': 100.00000000000401}","{'1R': 21.371704894828184, '2R': 137.3760000000002}","{'1R': 0.5945548405281723, '2R': 12.827741134274623}","{'1R': 142.69316172676133, '2R': 3078.6578722259096}","{'1R': 0.25114677975811545, '2R': 18.369220673200306}",{'sistema': 50.47582791242603},"{12: 1320.5529139237103, 1: 1321.5360108584903, 2: 1322.640169669559, 3: 1323.3312318629878, 4: 1324.7932191307855, 5: 1325.8742799523736, 6: 1326.652016419474, 7: 1327.7750436274832, 8: 1328.185674549514, 9: 1328.4603386831573, 10: 1328.4824962116982, 11: 1328.2170205245427}",20,20
1500.00,100.00,66390.55,6639.05,8884.26,1893.57,151.22,"{'Inferior': 1.25, 'Transicion': 0.8333333333333333, 'Intermedio': 42.08333333333333, 'Superior': 55.83333333333333}","{'riego': 15.404972388976983, 'generacion': 100.00000000000027}","{'1R': 45.37003777322788, '2R': 137.3760000000002}","{'1R': 0.6803519289330382, '2R': 7.173281611187906}","{'1R': 163.28446294392919, '2R': 1721.5875866850974}","{'1R': 0.28738845335438556, '2R': 10.272080757449087}",{'sistema': 60.561880404381405},"{12: 1328.810941099885, 1: 1329.6363657648658, 2: 1330.179150529263, 3: 1330.5030201527884, 4: 1331.8761239818045, 5: 1332.5045849476967, 6: 1333.0726041217913, 7: 1333.395039352557, 8: 1332.9214323031522, 9: 1332.4806839276432, 10: 1331.9014986806328, 11: 1331.2823059423627}",20,20
2000.00,100.00,82194.46,8219.45,13319.43,2073.96,234.11,"{'Inferior': 2.5, 'Transicion': 3.75, 'Intermedio': 25.416666666666664, 'Superior': 68.33333333333334}","{'riego': 27.02720316237847, 'generacion': 100.00000000000007}","{'1R': 44.298961220280916, '2R': 137.37600000000043}","{'1R': 0.9313276019253696, '2R': 11.993824569021607}","{'1R': 223.51862446208867, '2R': 2878.517896565185}","{'1R': 0.39340345444941593, '2R': 17.175058953703136}",{'sistema': 69.2205408454305},"{12: 1334.5980280912113, 1: 1334.486947712709, 2: 1334.1734176957254, 3: 1334.0304681710772, 4: 1334.4574544028294, 5: 1334.2322845345193, 6: 1333.7029280246172, 7: 1333.1750734718378, 8: 1332.5412059999776, 9: 1331.695005922461, 10: 1330.8142305844306, 11: 1329.9015942687845}",20,20
