mes,cota_msnm
12,1322.995046794146
1,1323.2266745633485
2,1322.6169743030325
3,1322.3578222866845
4,1322.3997558210524
5,1321.7717390466191
6,1321.716524237321
7,1320.7911330572886
8,1319.4586399930856
9,1317.595018580737
10,1316.4216019012767
11,1314.7741526061036
