mes,cota_msnm
12,1323.8792196964482
1,1323.3907470625045
2,1322.8415810852641
3,1323.1967675243204
4,1322.835195567669
5,1322.6293943967723
6,1322.505794360589
7,1322.5867860628387
8,1322.4264822152668
9,1322.4991275366303
10,1321.3495170119193
11,1319.541783045627
