mes,cota_msnm
12,1331.0955929419065
1,1329.4898268345282
2,1327.0080961470135
3,1324.2503879062228
4,1321.5054439844585
5,1322.1994060673787
6,1323.8435094293786
7,1325.1803135126343
8,1326.000560476624
9,1325.9563447993116
10,1326.7385125832848
11,1327.5467668676536
