V0,success_rate,avg_total_energy,avg_annual_energy,avg_toro_usage,avg_final_volume,std_final_volume,tiempo_colchones_%,uso_presupuestos_%,participacion_toro_%,factor_utilizacion_%,uso_real_agua_hm3,energia_total_mwh,eficiencia_energetica_mwh_hm3,cota_mensual,dependencia_lago_m3s,num_kpis,num_total
1000.00,100.00,21594.86,4318.97,763.98,1375.77,214.29,"{'Inferior': 16.333333333333332, 'Transicion': 12.166666666666668, 'Intermedio': 43.33333333333334, 'Superior': 28.0}","{'riego': 149.12049585134378, 'generacion': 22290.64742720993}",5.54,{'sistema': 0.0},"{'riego': 857.3186603100258, 'generacion': 14027.940524141917, 'total': 14885.259184451943}",4318.97,0.29,"{12: 1321.4205058902016, 1: 1322.7615628383887, 2: 1323.9075156375643, 3: 1324.8891513217104, 4: 1326.340560951921, 5: 1327.6244320145024, 6: 1328.6694204076025, 7: 1329.7679575869602, 8: 1330.598103872842, 9: 1331.192676283026, 10: 1331.8690891492731, 11: 1332.2646532250683}","{12: 4.225360895385853, 1: 1.7470467685573212, 2: 2.9513239168439087, 3: 1.6418890924133382, 4: 4.378599340286591, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 5.176419130413255, 10: 7.33547235518398, 11: 5.569199751583989}",50,50
1750.00,100.00,37816.41,7563.28,5739.37,1980.39,344.44,"{'Inferior': 3.166666666666666, 'Transicion': 4.166666666666666, 'Intermedio': 31.166666666666664, 'Superior': 61.5}","{'riego': 165.7776837175162, 'generacion': 2169.8272151518904}",27.97,{'sistema': 0.0},"{'riego': 1021.3699454462085, 'generacion': 19103.41923837692, 'total': 20124.789183823126}",7563.28,0.38,"{12: 1330.6390679912622, 1: 1331.3954027286877, 2: 1331.7719216515168, 3: 1332.2647417309895, 4: 1331.5328158312373, 5: 1331.9577726339212, 6: 1332.1824344588472, 7: 1332.589890824959, 8: 1332.5269664596667, 9: 1331.6891447316934, 10: 1330.1384113303795, 11: 1329.7249269698084}","{12: 7.283239654402951, 1: 8.054246132651226, 2: 7.77097332399949, 3: 5.919728787023624, 4: 26.069796915492553, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 17.95294521849801, 10: 35.00306731877652, 11: 7.2161265745214545}",50,50
2500.00,100.00,43084.46,8616.89,7243.35,2629.18,298.82,"{'Inferior': 0.6666666666666665, 'Transicion': 0.8333333333333331, 'Intermedio': 9.833333333333332, 'Superior': 88.66666666666666}","{'riego': 165.54069773379084, 'generacion': 1247.4127172714186}",31.27,{'sistema': 0.0},"{'riego': 1065.4538371948188, 'generacion': 20784.62998063245, 'total': 21850.083817827268}",8616.89,0.39,"{12: 1338.8651160529926, 1: 1339.1650125311428, 2: 1339.5874987370355, 3: 1339.807009840541, 4: 1338.8515040518207, 5: 1338.6952023954154, 6: 1338.1415690517406, 7: 1337.3627903250726, 8: 1336.6827178768567, 9: 1335.8545245478463, 10: 1334.379739225391, 11: 1334.0028638727554}","{12: 7.945600988258555, 1: 6.365733100193726, 2: 2.8385494614416547, 3: 4.923235694047324, 4: 27.51272951766703, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 19.122597040802717, 10: 36.22738788416347, 11: 4.155439554901367}",50,50
3250.00,100.00,43650.12,8730.02,7285.91,3204.04,321.79,"{'Inferior': 0.0, 'Transicion': 0.0, 'Intermedio': 1.833333333333333, 'Superior': 98.16666666666666}","{'riego': 157.99685012679464, 'generacion': 1012.9241025495007}",31.04,{'sistema': 0.0},"{'riego': 1258.9238220641894, 'generacion': 21049.452111114333, 'total': 22308.375933178522}",8730.02,0.39,"{12: 1345.5310920152604, 1: 1345.4867345920457, 2: 1345.6890112814758, 3: 1345.7272272327734, 4: 1344.5146510377326, 5: 1344.1196320351937, 6: 1343.6248987812037, 7: 1342.9816626648812, 8: 1342.3016148847134, 9: 1341.4052117471015, 10: 1339.5119873249287, 11: 1338.3469964607834}","{12: 9.718044537334682, 1: 6.986892582657581, 2: 6.2482785641410485, 3: 5.605167472627142, 4: 28.80293360799208, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 16.80067577461418, 10: 36.85763261041092, 11: 7.469201095289998}",50,50
4000.00,100.00,44842.59,8968.52,7230.20,3989.37,290.93,"{'Inferior': 0.0, 'Transicion': 0.0, 'Intermedio': 0.0, 'Superior': 100.0}","{'riego': 141.7901941249975, 'generacion': 838.6548752323246}",29.93,{'sistema': 0.0},"{'riego': 1406.259263935367, 'generacion': 21640.689158169393, 'total': 23046.94842210476}",8968.52,0.39,"{12: 1353.4289099500304, 1: 1353.1447004100244, 2: 1352.840838278128, 3: 1352.4583699484103, 4: 1351.5092099934118, 5: 1351.405525631209, 6: 1351.2144831976223, 7: 1350.6585102411204, 8: 1350.0116439333697, 9: 1348.9827990662586, 10: 1347.1669657234856, 11: 1346.1538041750955}","{12: 6.916356045127336, 1: 6.6405068219263175, 2: 4.423571514632545, 3: 1.8156497792163184, 4: 28.18723812708994, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 20.83400547287173, 10: 35.43488168261531, 11: 8.081606344222724}",50,50
