mes,cota_msnm
12,1323.9416928142266
1,1322.1545323186563
2,1319.7731962327534
3,1317.0277777778663
4,1314.2456952610771
5,1314.2322251406501
6,1315.3453886910486
7,1316.1707738415337
8,1316.7643545529093
9,1316.6144247092068
10,1317.6090103902518
11,1318.8790772816976
