central,fecha (mm-aaaa),caudal (m^3/s)
antuco,02-1968,11.96
antuco,03-1968,9.780000000000001
antuco,04-1968,10.66
antuco,05-1968,11.409999999999998
antuco,06-1968,12.159999999999998
antuco,07-1968,17.159999999999997
antuco,08-1968,30.94
antuco,09-1968,29.910000000000004
antuco,10-1968,32.050000000000004
antuco,11-1968,42.629999999999995
antuco,12-1968,27.390000000000004
antuco,01-1969,27.229999999999997
antuco,02-1969,17.48
antuco,03-1969,10.5
antuco,04-1969,16.21
antuco,05-1969,60.46709505947108
antuco,06-1969,178.18796803453125
antuco,07-1969,95.48831650076292
antuco,08-1969,100.12230948461566
antuco,09-1969,89.64895683869156
antuco,10-1969,61.07
antuco,11-1969,78.07383949586212
antuco,12-1969,63.634570910518335
antuco,01-1970,41.34
antuco,02-1970,26.260000000000005
antuco,03-1970,14.250000000000002
antuco,04-1970,12.650000000000002
antuco,05-1970,17.57
antuco,06-1970,62.14474618967514
antuco,07-1970,56.07
antuco,08-1970,65.37
antuco,09-1970,59.67999999999999
antuco,10-1970,82.01
antuco,11-1970,82.09160257482026
antuco,12-1970,73.87507742461288
antuco,01-1971,43.14000000000001
antuco,02-1971,31.57
antuco,03-1971,26.42
antuco,04-1971,11.48
antuco,05-1971,83.14295024286776
antuco,06-1971,45.300000000000004
antuco,07-1971,116.18074678400097
antuco,08-1971,87.6329306265684
antuco,09-1971,53.550000000000004
antuco,10-1971,74.99213932834061
antuco,11-1971,93.53066773696966
antuco,12-1971,63.14
antuco,01-1972,41.790000000000006
antuco,02-1972,25.27
antuco,03-1972,16.209999999999997
antuco,04-1972,21.189999999999998
antuco,05-1972,204.31851375972207
antuco,06-1972,164.77507914051955
antuco,07-1972,69.03
antuco,08-1972,159.67971398887184
antuco,09-1972,111.87633848704021
antuco,10-1972,122.68558573503829
antuco,11-1972,114.86988394611339
antuco,12-1972,75.50000000000001
antuco,01-1973,19.990000000000006
antuco,02-1973,13.510000000000002
antuco,03-1973,11.430000000000001
antuco,04-1973,12.45
antuco,05-1973,56.64800341756517
antuco,06-1973,60.23063881875175
antuco,07-1973,82.6586748124969
antuco,08-1973,60.87
antuco,09-1973,45.43000000000001
antuco,10-1973,68.99000000000001
antuco,11-1973,68.38
antuco,12-1973,36.669999999999995
antuco,01-1974,23.47
antuco,02-1974,19.75
antuco,03-1974,12.61
antuco,04-1974,9.579999999999998
antuco,05-1974,26.52
antuco,06-1974,82.67872714663977
antuco,07-1974,56.05
antuco,08-1974,56.13
antuco,09-1974,49.69
antuco,10-1974,76.25199571159226
antuco,11-1974,77.1442989117402
antuco,12-1974,47.230000000000004
antuco,01-1975,27.909999999999997
antuco,02-1975,16.439999999999998
antuco,03-1975,10.2
antuco,04-1975,20.67
antuco,05-1975,70.03097679878842
antuco,06-1975,99.3114868824302
antuco,07-1975,74.93557089871612
antuco,08-1975,45.370000000000005
antuco,09-1975,63.22
antuco,10-1975,91.19398310706946
antuco,11-1975,118.38320228512181
antuco,12-1975,77.06382622966542
antuco,01-1976,17.67
antuco,02-1976,15.44
antuco,03-1976,6.67
antuco,04-1976,8.69
antuco,05-1976,3.2399999999999993
antuco,06-1976,60.61277242618722
antuco,07-1976,34.18000000000001
antuco,08-1976,36.88
antuco,09-1976,56.6969389592789
antuco,10-1976,96.98569019314002
antuco,11-1976,77.67425708540297
antuco,12-1976,42.830000000000005
antuco,01-1977,32.38
antuco,02-1977,23.469999999999995
antuco,03-1977,11.780000000000001
antuco,04-1977,14.01
antuco,05-1977,48.319334847533945
antuco,06-1977,64.91340056629495
antuco,07-1977,102.58
antuco,08-1977,65.88575151684562
antuco,09-1977,100.65547904064343
antuco,10-1977,115.00707778795748
antuco,11-1977,126.33272111391027
antuco,12-1977,85.18776526805001
antuco,01-1978,27.35
antuco,02-1978,17.950000000000003
antuco,03-1978,10.130000000000003
antuco,04-1978,9.04
antuco,05-1978,26.33
antuco,06-1978,55.66190255058075
antuco,07-1978,160.76294450414196
antuco,08-1978,61.46
antuco,09-1978,89.42594909850467
antuco,10-1978,125.53417852961243
antuco,11-1978,106.20000000000002
antuco,12-1978,57.10573482611203
antuco,01-1979,29.11
antuco,02-1979,37.33
antuco,03-1979,32.809999999999995
antuco,04-1979,6.08
antuco,05-1979,25.919999999999998
antuco,06-1979,20.11
antuco,07-1979,88.4993048004953
antuco,08-1979,162.50340252574355
antuco,09-1979,107.10141377036449
antuco,10-1979,57.22
antuco,11-1979,74.88911763786336
antuco,12-1979,78.2611306899522
antuco,01-1980,20.66
antuco,02-1980,12.43
antuco,03-1980,10.060000000000002
antuco,04-1980,80.03811997542388
antuco,05-1980,144.65693976504838
antuco,06-1980,148.5866633570963
antuco,07-1980,92.26542815125327
antuco,08-1980,75.57474669626902
antuco,09-1980,46.64
antuco,10-1980,48.92
antuco,11-1980,42.269999999999996
antuco,12-1980,33.169999999999995
antuco,01-1981,14.476379999999999
antuco,02-1981,11.610619999999999
antuco,03-1981,8.975900000000001
antuco,04-1981,12.240300000000003
antuco,05-1981,130.5056078629818
antuco,06-1981,83.80301840117427
antuco,07-1981,69.84809416519043
antuco,08-1981,64.72955150688796
antuco,09-1981,56.88270000000001
antuco,10-1981,48.76599999999999
antuco,11-1981,39.957600000000006
antuco,12-1981,23.527179999999998
antuco,01-1982,52.94438799428608
antuco,02-1982,27.41862
antuco,03-1982,14.786159999999999
antuco,04-1982,8.390500000000001
antuco,05-1982,45.76357999999999
antuco,06-1982,98.6672525132567
antuco,07-1982,110.86755021632834
antuco,08-1982,70.90799862251856
antuco,09-1982,110.70375518377656
antuco,10-1982,105.15710437729268
antuco,11-1982,90.87209638880674
antuco,12-1982,98.80000000000001
antuco,01-1983,12.284749999999999
antuco,02-1983,9.320759999999998
antuco,03-1983,7.938320000000001
antuco,04-1983,12.257399999999999
antuco,05-1983,16.594679999999997
antuco,06-1983,98.97726165792946
antuco,07-1983,56.51393360944785
antuco,08-1983,49.70522999999999
antuco,09-1983,44.95607999999999
antuco,10-1983,67.9878
antuco,11-1983,63.699891861236054
antuco,12-1983,25.779300000000003
antuco,01-1984,37.677
antuco,02-1984,18.76287
antuco,03-1984,12.41949
antuco,04-1984,7.101
antuco,05-1984,26.196720000000006
antuco,06-1984,35.86238999999999
antuco,07-1984,84.75949265284899
antuco,08-1984,36.06389
antuco,09-1984,76.74978566735271
antuco,10-1984,118.97436810530903
antuco,11-1984,100.42503175261933
antuco,12-1984,84.31878203207604
antuco,01-1985,15.0255
antuco,02-1985,11.729550000000003
antuco,03-1985,9.97659
antuco,04-1985,16.8586
antuco,05-1985,65.30326688069704
antuco,06-1985,60.59183
antuco,07-1985,86.81303474212824
antuco,08-1985,34.05596
antuco,09-1985,48.578579999999995
antuco,10-1985,64.08890645172124
antuco,11-1985,63.693
antuco,12-1985,28.06981
antuco,01-1986,24.1871
antuco,02-1986,19.357940000000003
antuco,03-1986,15.598110000000004
antuco,04-1986,19.269200000000005
antuco,05-1986,114.55100144351866
antuco,06-1986,184.07213358220554
antuco,07-1986,62.95701980128522
antuco,08-1986,53.006
antuco,09-1986,52.62781
antuco,10-1986,65.175
antuco,11-1986,73.47803727646348
antuco,12-1986,60.38253015682447
antuco,01-1987,24.543299999999995
antuco,02-1987,15.949629999999997
antuco,03-1987,12.94342
antuco,04-1987,13.396799999999999
antuco,05-1987,17.56492
antuco,06-1987,53.65543278543175
antuco,07-1987,106.90411469021916
antuco,08-1987,85.47570944840727
antuco,09-1987,68.32098
antuco,10-1987,108.28747984300381
antuco,11-1987,79.99809507441928
antuco,12-1987,39.8088
antuco,01-1988,17.626300000000004
antuco,02-1988,10.067730000000001
antuco,03-1988,7.803100000000001
antuco,04-1988,8.836900000000002
antuco,05-1988,15.00492
antuco,06-1988,44.4828046812738
antuco,07-1988,57.871309315024064
antuco,08-1988,97.47677549316597
antuco,09-1988,53.02275
antuco,10-1988,70.8662
antuco,11-1988,83.52436016509598
antuco,12-1988,44.9628
antuco,01-1989,13.502099999999997
antuco,02-1989,8.7898
antuco,03-1989,9.00985
antuco,04-1989,6.1965
antuco,05-1989,5.608900000000001
antuco,06-1989,31.037154908744796
antuco,07-1989,38.80942
antuco,08-1989,60.553507488197546
antuco,09-1989,55.44313
antuco,10-1989,70.597
antuco,11-1989,61.3213
antuco,12-1989,28.70772000000001
antuco,01-1990,10.5395
antuco,02-1990,7.98438
antuco,03-1990,6.438559999999999
antuco,04-1990,22.847100000000008
antuco,05-1990,40.117360000000005
antuco,06-1990,44.0441
antuco,07-1990,27.95984
antuco,08-1990,75.14540692244353
antuco,09-1990,121.14628757317769
antuco,10-1990,65.5565
antuco,11-1990,34.65427
antuco,12-1990,18.07677
antuco,01-1991,23.119799999999998
antuco,02-1991,13.158349999999999
antuco,03-1991,9.733659999999999
antuco,04-1991,12.906399999999998
antuco,05-1991,153.7731252646428
antuco,06-1991,92.49313568936513
antuco,07-1991,104.60323103421199
antuco,08-1991,42.19821
antuco,09-1991,79.6904262923317
antuco,10-1991,67.4928
antuco,11-1991,56.39459999999999
antuco,12-1991,38.526
antuco,01-1992,28.58435
antuco,02-1992,15.957119999999996
antuco,03-1992,10.8371
antuco,04-1992,15.175200000000004
antuco,05-1992,146.3218226230655
antuco,06-1992,122.41638354905868
antuco,07-1992,61.912220000000005
antuco,08-1992,35.192550000000004
antuco,09-1992,66.35808
antuco,10-1992,82.2510181979525
antuco,11-1992,96.58771181016806
antuco,12-1992,63.16156512093276
antuco,01-1993,28.7514
antuco,02-1993,17.75621
antuco,03-1993,12.789119999999999
antuco,04-1993,21.954
antuco,05-1993,95.68344597610393
antuco,06-1993,205.35193402707387
antuco,07-1993,118.23228096986892
antuco,08-1993,103.12740686522542
antuco,09-1993,84.92402758974332
antuco,10-1993,77.18513585513864
antuco,11-1993,74.77705600761075
antuco,12-1993,60.2686766766568
antuco,01-1994,17.655750000000005
antuco,02-1994,11.51492
antuco,03-1994,8.343700000000002
antuco,04-1994,22.6473
antuco,05-1994,30.721179999999993
antuco,06-1994,91.18070956757916
antuco,07-1994,126.44605884551616
antuco,08-1994,42.910799999999995
antuco,09-1994,92.28119313151095
antuco,10-1994,87.45971924561631
antuco,11-1994,63.04956069501116
antuco,12-1994,40.35
antuco,01-1995,22.169999999999998
antuco,02-1995,12.669999999999998
antuco,03-1995,13.29
antuco,04-1995,12.770000000000001
antuco,05-1995,9.57
antuco,06-1995,82.8905488843024
antuco,07-1995,63.36796295977851
antuco,08-1995,40.85
antuco,09-1995,39.99
antuco,10-1995,91.92159956596572
antuco,11-1995,77.74453834688701
antuco,12-1995,39.7
antuco,01-1996,23.619999999999997
antuco,02-1996,13.359999999999998
antuco,03-1996,9.760000000000002
antuco,04-1996,10.34
antuco,05-1996,8.74
antuco,06-1996,40.830000000000005
antuco,07-1996,109.94446953861355
antuco,08-1996,60.041812835059595
antuco,09-1996,94.3512516602058
antuco,10-1996,125.9849423367229
antuco,11-1996,99.8296619708082
antuco,12-1996,54.317415875198776
antuco,01-1997,23.67655
antuco,02-1997,14.857980000000005
antuco,03-1997,10.347360000000002
antuco,04-1997,27.354600000000005
antuco,05-1997,56.79932
antuco,06-1997,158.44969359225203
antuco,07-1997,78.08503640360348
antuco,08-1997,106.42338222136694
antuco,09-1997,108.5772155717597
antuco,10-1997,76.5657
antuco,11-1997,75.04351011870882
antuco,12-1997,43.488
antuco,01-1998,7.38845
antuco,02-1998,6.517199999999999
antuco,03-1998,5.74906
antuco,04-1998,11.757599999999998
antuco,05-1998,14.7498
antuco,06-1998,18.30762
antuco,07-1998,23.61936
antuco,08-1998,22.377299999999995
antuco,09-1998,26.307719999999996
antuco,10-1998,24.169769999999996
antuco,11-1998,15.609780000000002
antuco,12-1998,10.862700000000004
antuco,01-1999,15.125300000000003
antuco,02-1999,18.564400000000003
antuco,03-1999,11.343560000000002
antuco,04-1999,5.134799999999999
antuco,05-1999,19.347680000000004
antuco,06-1999,55.72084369965383
antuco,07-1999,34.21214
antuco,08-1999,75.41014999999999
antuco,09-1999,104.99071572302829
antuco,10-1999,77.96756088666564
antuco,11-1999,56.02980000000001
antuco,12-1999,27.805999999999997
antuco,01-2000,30.446
antuco,02-2000,18.323620000000002
antuco,03-2000,11.162159999999998
antuco,04-2000,9.256799999999998
antuco,05-2000,12.75816
antuco,06-2000,137.4936003268814
antuco,07-2000,105.85722930848182
antuco,08-2000,98.70775266124244
antuco,09-2000,93.19106964277168
antuco,10-2000,87.40553948551015
antuco,11-2000,67.785
antuco,12-2000,54.55366096726917
antuco,01-2001,12.863499999999998
antuco,02-2001,13.74249
antuco,03-2001,28.54258
antuco,04-2001,10.0188
antuco,05-2001,80.80060044714807
antuco,06-2001,103.49844036205056
antuco,07-2001,189.94627774855581
antuco,08-2001,94.782599564152
antuco,09-2001,55.54044
antuco,10-2001,48.09510000000001
antuco,11-2001,37.16628000000001
antuco,12-2001,26.234999999999996
antuco,01-2002,31.117550000000005
antuco,02-2002,17.36245
antuco,03-2002,13.019279999999998
antuco,04-2002,18.2604
antuco,05-2002,49.98667224563894
antuco,06-2002,64.84440819046438
antuco,07-2002,57.48787969918084
antuco,08-2002,152.8303451321372
antuco,09-2002,86.47884181506012
antuco,10-2002,155.8176309715727
antuco,11-2002,97.0068923076923
antuco,12-2002,72.86946923076923
antuco,01-2003,28.491661290322586
antuco,02-2003,15.649380172413794
antuco,03-2003,8.815119354838709
antuco,04-2003,6.7967966666666655
antuco,05-2003,7.497964516129032
antuco,06-2003,121.50332425177217
antuco,07-2003,70.93921678601276
antuco,08-2003,43.71206451612903
antuco,09-2003,50.62803333333332
antuco,10-2003,61.63982795698926
antuco,11-2003,53.73279999999999
antuco,12-2003,41.80635483870968
antuco,01-2004,14.249347311827961
antuco,02-2004,7.9949714285714295
antuco,03-2004,4.949935483870967
antuco,04-2004,33.33601666666666
antuco,05-2004,19.374229032258064
antuco,06-2004,75.87978924210665
antuco,07-2004,79.7101806451613
antuco,08-2004,42.90506129032257
antuco,09-2004,70.18013666666667
antuco,10-2004,56.87684193548387
antuco,11-2004,66.08970000000001
antuco,12-2004,32.78481935483871
antuco,01-2005,28.365647709677418
antuco,02-2005,13.374203999999999
antuco,03-2005,9.33608393548387
antuco,04-2005,3.553230000000001
antuco,05-2005,39.49000838709678
antuco,06-2005,115.944760906218
antuco,07-2005,119.01440566680324
antuco,08-2005,146.37637341935482
antuco,09-2005,67.05139990000002
antuco,10-2005,57.89208567741935
antuco,11-2005,69.24568666065099
antuco,12-2005,50.53641372580647
antuco,01-2006,25.443048387096777
antuco,02-2006,16.54564017857143
antuco,03-2006,11.674386129032255
antuco,04-2006,15.328683999999999
antuco,05-2006,27.170361290322578
antuco,06-2006,145.05962449534306
antuco,07-2006,158.33792666394976
antuco,08-2006,79.42143387096775
antuco,09-2006,87.66948290924766
antuco,10-2006,88.93258425806451
antuco,11-2006,64.3672960333333
antuco,12-2006,44.064362032258046
antuco,01-2007,12.246798387096776
antuco,02-2007,8.857971931034436
antuco,03-2007,6.8347575483871195
antuco,04-2007,10.99006
antuco,05-2007,10.162712903225806
antuco,06-2007,10.512293333333334
antuco,07-2007,43.9000435483871
antuco,08-2007,25.267437096774195
antuco,09-2007,42.93151840000001
antuco,10-2007,54.183802322580654
antuco,11-2007,46.42324046666667
antuco,12-2007,25.348315645161293
antuco,01-2008,12.698109677419355
antuco,02-2008,9.282137035714287
antuco,03-2008,7.693437161290321
antuco,04-2008,9.933014947368418
antuco,05-2008,103.98044545789469
antuco,06-2008,58.32024666666668
antuco,07-2008,56.29657903225806
antuco,08-2008,91.80703671499819
antuco,09-2008,60.10270520000002
antuco,10-2008,45.67109961290323
antuco,11-2008,41.50196173333333
antuco,12-2008,21.28419493548387
antuco,01-2009,27.158785499999993
antuco,02-2009,18.518016557142857
antuco,03-2009,15.110539250967745
antuco,04-2009,8.71187
antuco,05-2009,64.44083156682026
antuco,06-2009,67.03013573364258
antuco,07-2009,75.78982183154392
antuco,08-2009,79.94790032258065
antuco,09-2009,74.35568158613282
antuco,10-2009,66.5859967716365
antuco,11-2009,75.66062506666665
antuco,12-2009,42.5211065516129
antuco,01-2010,18.59332258064516
antuco,02-2010,13.246313571428571
antuco,03-2010,11.078876129032256
antuco,04-2010,11.851239999999999
antuco,05-2010,10.270161290322584
antuco,06-2010,30.04515
antuco,07-2010,33.62459677419355
antuco,08-2010,39.39891935483871
antuco,09-2010,44.845119000000004
antuco,10-2010,57.13575741935483
antuco,11-2010,55.353333
antuco,12-2010,31.90634419354839
antuco,01-2011,19.557000000000006
antuco,02-2011,17.16001872413793
antuco,03-2011,15.826397064516128
antuco,04-2011,18.000010000000003
antuco,05-2011,17.772706451612905
antuco,06-2011,38.02172999999999
antuco,07-2011,42.8098064516129
antuco,08-2011,74.85984345916374
antuco,09-2011,77.1540280178094
antuco,10-2011,82.87866967741935
antuco,11-2011,70.79034333333333
antuco,12-2011,44.489191935483866
antuco,01-2012,24.349741935483866
antuco,02-2012,14.616470599078344
antuco,03-2012,10.542554612903224
antuco,04-2012,11.005080000000005
antuco,05-2012,39.88878387096774
antuco,06-2012,95.889825
antuco,07-2012,54.04738064516128
antuco,08-2012,31.059322580645155
antuco,09-2012,36.94795200000001
antuco,10-2012,30.800652903225803
antuco,11-2012,24.399094000000005
antuco,12-2012,37.7618429032258
antuco,01-2013,14.61196337760911
antuco,02-2013,10.8187635
antuco,03-2013,9.892270744026286
antuco,04-2013,9.693780000000004
antuco,05-2013,13.479204670838712
antuco,06-2013,41.00822999999999
antuco,07-2013,65.13997580645163
antuco,08-2013,53.50787903225805
antuco,09-2013,84.02615962865114
antuco,10-2013,53.87430451612903
antuco,11-2013,45.617056666666656
antuco,12-2013,28.823426077798867
antuco,01-2014,18.039774193548382
antuco,02-2014,11.114994642857141
antuco,03-2014,8.845150322580645
antuco,04-2014,10.206294999999999
antuco,05-2014,24.074158064516123
antuco,06-2014,53.39044333333332
antuco,07-2014,64.57362094934298
antuco,08-2014,106.0239155115491
antuco,09-2014,77.6162647834197
antuco,10-2014,70.72128464516129
antuco,11-2014,49.14755549999998
antuco,12-2014,29.681653645161283
antuco,01-2015,37.06360403225805
antuco,02-2015,35.51844526011809
antuco,03-2015,32.91942427546446
antuco,04-2015,33.84967999999999
antuco,05-2015,30.76850322580646
antuco,06-2015,32.247775000000004
antuco,07-2015,32.641843010752694
antuco,08-2015,32.927829702233254
antuco,09-2015,34.882353494117645
antuco,10-2015,35.880219401157966
antuco,11-2015,38.69036677144716
antuco,12-2015,38.785048173607045
antuco,01-2016,31.392967741935482
antuco,02-2016,29.795157403846154
antuco,03-2016,26.27334011742635
antuco,04-2016,36.10584599999999
antuco,05-2016,33.72827806451615
antuco,06-2016,36.185466666666656
antuco,07-2016,37.44782603686636
antuco,08-2016,39.87852543424317
antuco,09-2016,40.58334804705883
antuco,10-2016,42.53851105376344
antuco,11-2016,33.9535458440746
antuco,12-2016,39.44292642580644
antuco,01-2017,19.293
antuco,02-2017,12.783794999999994
antuco,03-2017,12.022210000000003
antuco,04-2017,9.694679999999995
antuco,05-2017,19.062580645161283
antuco,06-2017,51.30875
antuco,07-2017,49.66748387096775
antuco,08-2017,49.146645161290316
antuco,09-2017,59.749762
antuco,10-2017,101.05387541084865
antuco,11-2017,83.96683269557528
antuco,12-2017,42.884619677419344
antuco,01-2018,23.065835806451602
antuco,02-2018,16.50208625
antuco,03-2018,12.05590948387097
antuco,04-2018,17.509128000000004
antuco,05-2018,22.030986322580645
antuco,06-2018,54.84496753198875
antuco,07-2018,55.683875870967725
antuco,08-2018,37.73729864516129
antuco,09-2018,75.49987900339384
antuco,10-2018,77.75410403225807
antuco,11-2018,72.826324
antuco,12-2018,40.45434516129032
antuco,01-2019,14.988821774193546
antuco,02-2019,11.427735285714286
antuco,03-2019,9.358984258064517
antuco,04-2019,10.855610666666665
antuco,05-2019,16.898458580645155
antuco,06-2019,54.14171506666667
antuco,07-2019,54.99530064516129
antuco,08-2019,68.7503974500006
antuco,09-2019,59.523576
antuco,10-2019,62.84020290322581
antuco,11-2019,46.466489333333335
antuco,12-2019,23.831870967741942
antuco,01-2020,18.711569032258062
antuco,02-2020,16.29857321428571
antuco,03-2020,11.356185741935485
antuco,04-2020,9.272661999999997
antuco,05-2020,10.484658580645164
antuco,06-2020,36.55406393333333
antuco,07-2020,83.02214305520297
antuco,08-2020,51.31880548387097
antuco,09-2020,49.76025333333333
antuco,10-2020,68.78143358687345
antuco,11-2020,60.40971066666666
antuco,12-2020,30.072193548387105
antuco,01-2021,11.578107258064515
antuco,02-2021,9.467832964285716
antuco,03-2021,8.564185225806453
antuco,04-2021,9.105301333333344
antuco,05-2021,14.541335225806442
antuco,06-2021,50.282014639113186
antuco,07-2021,27.53818219354838
antuco,08-2021,50.498019948376
antuco,09-2021,59.86224546666666
antuco,10-2021,56.06717174193548
antuco,11-2021,35.68341813333333
antuco,12-2021,17.685129032258065
antuco,01-2022,15.99423564516129
antuco,02-2022,12.184252642857142
antuco,03-2022,10.293737935483872
antuco,04-2022,25.916212
antuco,05-2022,34.451948903225805
antuco,06-2022,46.773643500000006
antuco,07-2022,72.28996554720155
antuco,08-2022,71.67985567175865
antuco,09-2022,56.7417404
antuco,10-2022,75.10672919354839
antuco,11-2022,60.009800133333336
antuco,12-2022,29.47339677419355
antuco,01-2023,40.667605075892865
antuco,02-2023,26.08381462946429
antuco,03-2023,19.163168426785717
antuco,04-2023,9.078515854464285
antuco,05-2023,17.463593940178573
antuco,06-2023,162.93009240000004
antuco,07-2023,110.17731332232142
antuco,08-2023,149.83194825535716
antuco,09-2023,154.08260923928574
antuco,10-2023,93.7503796
antuco,11-2023,114.08518292857146
antuco,12-2023,86.29896017142858
canecol,01-1960,2.39
canecol,02-1960,1.71
canecol,03-1960,3.27
canecol,04-1960,3.7800000000000002
canecol,05-1960,4.32
canecol,06-1960,47.6
canecol,07-1960,39.0
canecol,08-1960,28.400000000000002
canecol,09-1960,26.60000000000001
canecol,10-1960,17.1
canecol,11-1960,12.7
canecol,12-1960,6.659999999999999
canecol,01-1961,1.64
canecol,02-1961,1.53
canecol,03-1961,0.87
canecol,04-1961,10.200000000000001
canecol,05-1961,7.309999999999999
canecol,06-1961,10.9
canecol,07-1961,13.0
canecol,08-1961,14.3
canecol,09-1961,10.599999999999998
canecol,10-1961,8.1
canecol,11-1961,6.110000000000001
canecol,12-1961,2.29
canecol,01-1962,4.7365462013828
canecol,02-1962,4.940188407329489
canecol,03-1962,5.053017905070134
canecol,04-1962,4.861626592231572
canecol,05-1962,5.431324461884991
canecol,06-1962,14.127495343338285
canecol,07-1962,10.070073422221416
canecol,08-1962,21.02978696260053
canecol,09-1962,13.827942139642339
canecol,10-1962,15.824277352506364
canecol,11-1962,10.145894319110692
canecol,12-1962,6.272422351596077
canecol,01-1963,7.535742825289923
canecol,02-1963,4.6095579962024065
canecol,03-1963,4.242118695893139
canecol,04-1963,6.317717726537795
canecol,05-1963,7.094554718260253
canecol,06-1963,12.10965994165018
canecol,07-1963,29.499700778540404
canecol,08-1963,33.222542393760136
canecol,09-1963,29.503281396846816
canecol,10-1963,22.58666576554059
canecol,11-1963,23.945785922504648
canecol,12-1963,15.215034832933299
canecol,01-1964,7.20950253079949
canecol,02-1964,5.683031019246898
canecol,03-1964,4.324215131433703
canecol,04-1964,4.3357526978692285
canecol,05-1964,6.160866746280213
canecol,06-1964,10.4329697308049
canecol,07-1964,12.235914652033976
canecol,08-1964,14.08038236244432
canecol,09-1964,20.89168021287066
canecol,10-1964,17.445039804338013
canecol,11-1964,13.60935759089162
canecol,12-1964,15.203504211401112
canecol,01-1965,6.858724404898903
canecol,02-1965,4.413673578577513
canecol,03-1965,4.131595231898056
canecol,04-1965,12.750118313346366
canecol,05-1965,24.242951253570258
canecol,06-1965,41.0131204919647
canecol,07-1965,38.804500367272425
canecol,08-1965,40.01134421593282
canecol,09-1965,16.527802931375533
canecol,10-1965,22.592430426479083
canecol,11-1965,22.991427441983067
canecol,12-1965,18.04257247990327
canecol,01-1966,11.174923776814852
canecol,02-1966,6.700532286296085
canecol,03-1966,5.245384628907074
canecol,04-1966,6.482778056026269
canecol,05-1966,11.978434723078728
canecol,06-1966,21.917120434050553
canecol,07-1966,39.80011888343775
canecol,08-1966,19.391251507683506
canecol,09-1966,19.276952710204757
canecol,10-1966,17.32180718078712
canecol,11-1966,16.26486627420021
canecol,12-1966,26.83894243771663
canecol,01-1967,3.883136246682641
canecol,02-1967,3.488994614569498
canecol,03-1967,3.054760961836692
canecol,04-1967,5.594536967510411
canecol,05-1967,14.18172110754129
canecol,06-1967,13.584731894050202
canecol,07-1967,13.4599792148551
canecol,08-1967,23.45989930506082
canecol,09-1967,21.750997479101297
canecol,10-1967,26.494294904700045
canecol,11-1967,17.662083354459792
canecol,12-1967,9.01005558679557
canecol,01-1968,4.549094755053575
canecol,02-1968,2.9943197198794222
canecol,03-1968,2.842703067696851
canecol,04-1968,4.213581589921478
canecol,05-1968,4.951962508369581
canecol,06-1968,5.867277353768433
canecol,07-1968,8.040843689140837
canecol,08-1968,10.67509175712512
canecol,09-1968,9.447282190012146
canecol,10-1968,9.116291872622934
canecol,11-1968,10.447985888404155
canecol,12-1968,6.712656511881548
canecol,01-1969,5.3304342400956095
canecol,02-1969,5.123400822186232
canecol,03-1969,4.840866223554435
canecol,04-1969,5.51760004939924
canecol,05-1969,22.682429223710642
canecol,06-1969,63.80041504857294
canecol,07-1969,26.92416805871281
canecol,08-1969,33.89339107034233
canecol,09-1969,22.309119551578497
canecol,10-1969,14.606509661704786
canecol,11-1969,13.472333879285978
canecol,12-1969,9.069033442286624
canecol,01-1970,5.288822061725468
canecol,02-1970,5.278269526709578
canecol,03-1970,2.563126495145739
canecol,04-1970,5.063983128088964
canecol,05-1970,6.503062122610084
canecol,06-1970,22.850820816025223
canecol,07-1970,20.422805349647685
canecol,08-1970,22.058041049285887
canecol,09-1970,13.214192130414911
canecol,10-1970,14.824501179602981
canecol,11-1970,12.217293478921553
canecol,12-1970,11.55563106712576
canecol,01-1971,6.273488618247446
canecol,02-1971,5.165123255608566
canecol,03-1971,4.621247517676069
canecol,04-1971,2.5120999363607215
canecol,05-1971,25.13409477393392
canecol,06-1971,14.724386187364086
canecol,07-1971,34.74517744458966
canecol,08-1971,21.41944897992136
canecol,09-1971,14.863572605644746
canecol,10-1971,16.77663005774536
canecol,11-1971,12.193651334489036
canecol,12-1971,10.646948168569303
canecol,01-1972,6.4156766450116125
canecol,02-1972,4.308840391075557
canecol,03-1972,3.876262046432119
canecol,04-1972,4.292719177394617
canecol,05-1972,41.31267659101661
canecol,06-1972,64.97216643442523
canecol,07-1972,40.15247729220236
canecol,08-1972,52.778403737984114
canecol,09-1972,36.88396933987022
canecol,10-1972,39.46587818604977
canecol,11-1972,31.000954467668357
canecol,12-1972,20.06474883377596
canecol,01-1973,5.162415685049948
canecol,02-1973,4.219009568693496
canecol,03-1973,3.7324859765947696
canecol,04-1973,4.748151784475154
canecol,05-1973,18.715602802217322
canecol,06-1973,20.06053504940742
canecol,07-1973,25.39278977683766
canecol,08-1973,15.682588069016365
canecol,09-1973,12.85003511205711
canecol,10-1973,18.128094842400905
canecol,11-1973,12.119953480402563
canecol,12-1973,7.392645970955819
canecol,01-1974,4.558837150242632
canecol,02-1974,3.790060747575043
canecol,03-1974,3.1246500205511833
canecol,04-1974,3.4597020997673003
canecol,05-1974,8.11063068133911
canecol,06-1974,32.466248025731076
canecol,07-1974,20.807111817975333
canecol,08-1974,16.624359265881477
canecol,09-1974,17.758370677542366
canecol,10-1974,14.753663097455732
canecol,11-1974,13.96415760208382
canecol,12-1974,8.190952806896517
canecol,01-1975,5.045440177925113
canecol,02-1975,3.4545487855080923
canecol,03-1975,2.871166439026772
