scenario,factor,total_energy,total_toro_usage,final_v,success
1,0.6,11608.199683604049,1790.234076277622,1443.1938917092968,True
1,1.0,13732.639042249219,1840.4906655532416,1558.6886606000385,True
1,1.4,16157.969920984033,2158.3904000000452,1964.2580345516365,True
2,0.6,12247.105152814696,1800.141961300129,1398.9711279215956,True
2,1.0,11990.17442257898,948.4043142034477,1347.6655492545085,True
2,1.4,15467.442740094793,1611.5460492781503,1555.240830643743,True
3,0.6,10545.784066831236,1731.4606684084015,1353.8949503990016,True
3,1.0,10025.867203323718,973.5605150835079,1442.4698522407837,True
3,1.4,11342.42974561383,903.0152358540499,1370.5535050689225,True
