factor,year,status,energy,v_final,toro_usage
0.6,1960,OK,5638.028105594705,1460.2224144627676,341.65680572694
0.6,1961,OK,4629.041693601141,1373.262698120799,315.7747757519985
1.0,1960,OK,6382.813354682998,1540.040283855849,305.1612323268805
1.0,1961,OK,5396.230269942922,1316.4856626810702,351.3216849882578
1.4,1960,OK,7336.27977665549,1619.8581532489036,338.6231260182783
1.4,1961,OK,5556.960271375925,1416.9521484510099,305.25477057653245
