factor,total_scaled,delta_abs,delta_pct,P10,P50,P90
0.6,85619.0560111806,-57079.37067412041,-40.0,850.6422935268812,1275.7797708126,1812.1849599302782
1.0,142698.426685301,0.0,0.0,1417.7371558781354,2126.2996180210002,3020.308266550464
1.4,199777.79735942138,57079.37067412038,39.99999999999999,1984.8320182293894,2976.8194652293996,4228.431573170649
