i,j,mes,caudal_m3s,vol_Hm3,energia_MWh
afluente_Embalse,Embalse,1,57.923740,150.138334,0.000000
afluente_Embalse,Embalse,2,28.603314,74.139790,0.000000
afluente_Embalse,Embalse,3,23.228033,60.207062,0.000000
afluente_Embalse,Embalse,4,35.362571,91.659785,0.000000
afluente_Embalse,Embalse,5,58.686781,152.116135,0.000000
afluente_Embalse,Embalse,6,57.277962,148.464478,0.000000
afluente_Embalse,Embalse,7,52.559579,136.234429,0.000000
afluente_Embalse,Embalse,8,124.839726,323.584571,0.000000
afluente_Embalse,Embalse,9,97.383437,252.417869,0.000000
afluente_Embalse,Embalse,10,181.683078,470.922539,0.000000
afluente_Embalse,Embalse,11,159.453600,413.303731,0.000000
afluente_Embalse,Embalse,12,127.985037,331.737216,0.000000
afluente_Abanico,control_Abanico,1,7.314503,18.959192,0.000000
afluente_Abanico,control_Abanico,2,5.344637,13.853300,0.000000
afluente_Abanico,control_Abanico,3,4.105302,10.640943,0.000000
afluente_Abanico,control_Abanico,4,2.703055,7.006318,0.000000
afluente_Abanico,control_Abanico,5,2.842341,7.367347,0.000000
afluente_Abanico,control_Abanico,6,3.601102,9.334056,0.000000
afluente_Abanico,control_Abanico,7,3.930401,10.187598,0.000000
afluente_Abanico,control_Abanico,8,6.149903,15.940548,0.000000
afluente_Abanico,control_Abanico,9,5.318087,13.784481,0.000000
afluente_Abanico,control_Abanico,10,8.059100,20.889186,0.000000
afluente_Abanico,control_Abanico,11,8.726549,22.619214,0.000000
afluente_Abanico,control_Abanico,12,9.431988,24.447712,0.000000
afluente_Antuco,control_Antuco,1,31.117550,80.656690,0.000000
afluente_Antuco,control_Antuco,2,17.362450,45.003470,0.000000
afluente_Antuco,control_Antuco,3,13.019280,33.745974,0.000000
afluente_Antuco,control_Antuco,4,18.260400,47.330957,0.000000
afluente_Antuco,control_Antuco,5,49.986672,129.565454,0.000000
afluente_Antuco,control_Antuco,6,64.844408,168.076706,0.000000
afluente_Antuco,control_Antuco,7,57.487880,149.008584,0.000000
afluente_Antuco,control_Antuco,8,152.830345,396.136255,0.000000
afluente_Antuco,control_Antuco,9,86.478842,224.153158,0.000000
