i,j,mes,caudal_m3s,vol_Hm3,energia_MWh
afluente_Embalse,Embalse,1,22.505182,58.333432,0.000000
afluente_Embalse,Embalse,2,18.362927,47.596707,0.000000
afluente_Embalse,Embalse,3,14.823901,38.423551,0.000000
afluente_Embalse,Embalse,4,7.718517,20.006395,0.000000
afluente_Embalse,Embalse,5,130.602252,338.521037,0.000000
afluente_Embalse,Embalse,6,65.788551,170.523925,0.000000
afluente_Embalse,Embalse,7,62.384057,161.699477,0.000000
afluente_Embalse,Embalse,8,91.572347,237.355523,0.000000
afluente_Embalse,Embalse,9,71.118022,184.337914,0.000000
afluente_Embalse,Embalse,10,83.110192,215.421616,0.000000
afluente_Embalse,Embalse,11,86.211406,223.459963,0.000000
afluente_Embalse,Embalse,12,39.815974,103.203005,0.000000
afluente_Abanico,control_Abanico,1,4.729834,12.259729,0.000000
afluente_Abanico,control_Abanico,2,3.994858,10.354672,0.000000
afluente_Abanico,control_Abanico,3,3.371893,8.739947,0.000000
afluente_Abanico,control_Abanico,4,4.004825,10.380507,0.000000
afluente_Abanico,control_Abanico,5,1.734559,4.495976,0.000000
afluente_Abanico,control_Abanico,6,1.098975,2.848543,0.000000
afluente_Abanico,control_Abanico,7,2.408706,6.243366,0.000000
afluente_Abanico,control_Abanico,8,5.760065,14.930087,0.000000
afluente_Abanico,control_Abanico,9,5.110572,13.246602,0.000000
afluente_Abanico,control_Abanico,10,4.890218,12.675444,0.000000
afluente_Abanico,control_Abanico,11,6.354129,16.469902,0.000000
afluente_Abanico,control_Abanico,12,5.683986,14.732893,0.000000
afluente_Antuco,control_Antuco,1,12.698110,32.913500,0.000000
afluente_Antuco,control_Antuco,2,9.282137,24.059299,0.000000
afluente_Antuco,control_Antuco,3,7.693437,19.941389,0.000000
afluente_Antuco,control_Antuco,4,9.933015,25.746375,0.000000
afluente_Antuco,control_Antuco,5,103.980445,269.517315,0.000000
afluente_Antuco,control_Antuco,6,58.320247,151.166079,0.000000
afluente_Antuco,control_Antuco,7,56.296579,145.920733,0.000000
afluente_Antuco,control_Antuco,8,91.807037,237.963839,0.000000
afluente_Antuco,control_Antuco,9,60.102705,155.786212,0.000000
afluente_Antuco,control_Antuco,10,45.671100,118.379490,0.000000
afluente_Antuco,control_Antuco,11,41.501962,107.573085,0.000000
afluente_Antuco,control_Antuco,12,21.284195,55.168633,0.000000
afluente_Canecol,control_Canecol,1,1.668065,4.323623,0.000000
afluente_Canecol,control_Canecol,2,1.668065,4.323623,0.000000
afluente_Canecol,control_Canecol,3,1.210909,3.138676,0.000000
afluente_Canecol,control_Canecol,4,2.287333,5.928768,0.000000
afluente_Canecol,control_Canecol,5,71.211935,184.581337,0.000000
afluente_Canecol,control_Canecol,6,23.030333,59.694624,0.000000
afluente_Canecol,control_Canecol,7,27.310968,70.790028,0.000000
afluente_Canecol,control_Canecol,8,56.920968,147.539148,0.000000
afluente_Canecol,control_Canecol,9,31.840667,82.531008,0.000000
afluente_Canecol,control_Canecol,10,11.802258,30.591453,0.000000
afluente_Canecol,control_Canecol,11,8.128333,21.068640,0.000000
afluente_Canecol,control_Canecol,12,3.712258,9.622173,0.000000
afluente_Tucapel,control_Tucapel,1,26.187746,67.878639,0.000000
afluente_Tucapel,control_Tucapel,2,22.320691,57.855232,0.000000
afluente_Tucapel,control_Tucapel,3,10.190275,26.413194,0.000000
afluente_Tucapel,control_Tucapel,4,18.709852,48.495936,0.000000
afluente_Tucapel,control_Tucapel,5,35.954232,93.193370,0.000000
afluente_Tucapel,control_Tucapel,6,69.357092,179.773584,0.000000
afluente_Tucapel,control_Tucapel,7,77.213190,200.136588,0.000000
afluente_Tucapel,control_Tucapel,8,97.212321,251.974336,0.000000
afluente_Tucapel,control_Tucapel,9,77.993996,202.160437,0.000000
afluente_Tucapel,control_Tucapel,10,59.285540,153.668120,0.000000
afluente_Tucapel,control_Tucapel,11,49.777849,129.024185,0.000000
afluente_Tucapel,control_Tucapel,12,23.102507,59.881699,0.000000
afluente_Laja_I,control_Laja_I,1,2.320000,6.013440,0.000000
afluente_Laja_I,control_Laja_I,2,6.030000,15.629760,0.000000
afluente_Laja_I,control_Laja_I,3,4.650000,12.052800,0.000000
afluente_Laja_I,control_Laja_I,4,1.830000,4.743360,0.000000
afluente_Laja_I,control_Laja_I,5,61.900000,160.444800,0.000000
afluente_Laja_I,control_Laja_I,6,57.600000,149.299200,0.000000
afluente_Laja_I,control_Laja_I,7,24.350000,63.115200,0.000000
afluente_Laja_I,control_Laja_I,8,18.480000,47.900160,0.000000
afluente_Laja_I,control_Laja_I,9,6.870000,17.807040,0.000000
afluente_Laja_I,control_Laja_I,10,5.050000,13.089600,0.000000
afluente_Laja_I,control_Laja_I,11,3.500000,9.072000,0.000000
