i,j,mes,caudal_m3s,vol_Hm3,energia_MWh
afluente_Embalse,Embalse,1,22.291462,57.779470,0.000000
afluente_Embalse,Embalse,2,17.300933,44.844020,0.000000
afluente_Embalse,Embalse,3,17.317863,44.887900,0.000000
afluente_Embalse,Embalse,4,11.983710,31.061776,0.000000
afluente_Embalse,Embalse,5,23.920555,62.002078,0.000000
afluente_Embalse,Embalse,6,39.286489,101.830580,0.000000
afluente_Embalse,Embalse,7,51.757420,134.155232,0.000000
afluente_Embalse,Embalse,8,51.437556,133.326146,0.000000
afluente_Embalse,Embalse,9,115.339160,298.959104,0.000000
afluente_Embalse,Embalse,10,89.919694,233.071847,0.000000
afluente_Embalse,Embalse,11,98.705949,255.845820,0.000000
afluente_Embalse,Embalse,12,68.848635,178.455662,0.000000
afluente_Abanico,control_Abanico,1,3.981983,10.321300,0.000000
afluente_Abanico,control_Abanico,2,3.343525,8.666416,0.000000
afluente_Abanico,control_Abanico,3,2.771768,7.184422,0.000000
afluente_Abanico,control_Abanico,4,2.886152,7.480906,0.000000
afluente_Abanico,control_Abanico,5,3.779306,9.795960,0.000000
afluente_Abanico,control_Abanico,6,3.860433,10.006243,0.000000
afluente_Abanico,control_Abanico,7,4.107262,10.646023,0.000000
afluente_Abanico,control_Abanico,8,3.310830,8.581672,0.000000
afluente_Abanico,control_Abanico,9,4.120387,10.680042,0.000000
afluente_Abanico,control_Abanico,10,5.525653,14.322493,0.000000
afluente_Abanico,control_Abanico,11,5.490828,14.232227,0.000000
afluente_Abanico,control_Abanico,12,5.257251,13.626794,0.000000
afluente_Antuco,control_Antuco,1,14.611963,37.874209,0.000000
afluente_Antuco,control_Antuco,2,10.818763,28.042235,0.000000
afluente_Antuco,control_Antuco,3,9.892271,25.640766,0.000000
afluente_Antuco,control_Antuco,4,9.693780,25.126278,0.000000
afluente_Antuco,control_Antuco,5,13.479205,34.938099,0.000000
afluente_Antuco,control_Antuco,6,41.008230,106.293332,0.000000
afluente_Antuco,control_Antuco,7,65.139976,168.842817,0.000000
afluente_Antuco,control_Antuco,8,53.507879,138.692422,0.000000
afluente_Antuco,control_Antuco,9,84.026160,217.795806,0.000000
afluente_Antuco,control_Antuco,10,53.874305,139.642197,0.000000
afluente_Antuco,control_Antuco,11,45.617057,118.239411,0.000000
afluente_Antuco,control_Antuco,12,28.823426,74.710320,0.000000
afluente_Canecol,control_Canecol,1,2.218387,5.750059,0.000000
afluente_Canecol,control_Canecol,2,1.708571,4.428617,0.000000
afluente_Canecol,control_Canecol,3,1.379355,3.575288,0.000000
afluente_Canecol,control_Canecol,4,0.903000,2.340576,0.000000
afluente_Canecol,control_Canecol,5,7.215484,18.702534,0.000000
afluente_Canecol,control_Canecol,6,26.036333,67.486176,0.000000
afluente_Canecol,control_Canecol,7,43.886774,113.754519,0.000000
afluente_Canecol,control_Canecol,8,36.774516,95.319546,0.000000
afluente_Canecol,control_Canecol,9,44.633667,115.690464,0.000000
afluente_Canecol,control_Canecol,10,17.610968,45.647628,0.000000
afluente_Canecol,control_Canecol,11,9.453000,24.502176,0.000000
afluente_Canecol,control_Canecol,12,4.156129,10.772686,0.000000
afluente_Tucapel,control_Tucapel,1,21.861009,56.663735,0.000000
afluente_Tucapel,control_Tucapel,2,27.171848,70.429429,0.000000
