central,vol_mes1_Hm3,vol_mes2_Hm3,vol_mes3_Hm3,vol_mes4_Hm3,vol_mes5_Hm3,vol_mes6_Hm3,vol_mes7_Hm3,vol_mes8_Hm3,vol_mes9_Hm3,vol_mes10_Hm3,vol_mes11_Hm3,vol_mes12_Hm3,eng_mes1_MWh,eng_mes2_MWh,eng_mes3_MWh,eng_mes4_MWh,eng_mes5_MWh,eng_mes6_MWh,eng_mes7_MWh,eng_mes8_MWh,eng_mes9_MWh,eng_mes10_MWh,eng_mes11_MWh,eng_mes12_MWh,total_vol_Hm3,total_eng_MWh
ElToro,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.399421,0.000000,0.000000,6.600579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,98.887817,0.000000,0.000000,12.223294,60.000000,111.111111
control_FiltracionesLaja,57.997203,57.997203,57.997203,57.997203,57.997203,57.997203,57.997203,61.460479,61.460479,61.460479,64.919067,78.042656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,733.323582,0.000000
