i,j,mes,caudal_m3s,vol_Hm3,energia_MWh
afluente_Embalse,Embalse,1,37.240000,96.526080,0.000000
afluente_Embalse,Embalse,2,22.970000,59.538240,0.000000
afluente_Embalse,Embalse,3,24.840000,64.385280,0.000000
afluente_Embalse,Embalse,4,90.693894,235.078572,0.000000
afluente_Embalse,Embalse,5,162.848563,422.103475,0.000000
afluente_Embalse,Embalse,6,162.013337,419.938569,0.000000
afluente_Embalse,Embalse,7,109.100000,282.787200,0.000000
afluente_Embalse,Embalse,8,73.710000,191.056320,0.000000
afluente_Embalse,Embalse,9,66.660000,172.782720,0.000000
afluente_Embalse,Embalse,10,85.380000,221.304960,0.000000
afluente_Embalse,Embalse,11,83.430000,216.250560,0.000000
afluente_Embalse,Embalse,12,59.630000,154.560960,0.000000
afluente_Abanico,control_Abanico,1,7.300000,18.921600,0.000000
afluente_Abanico,control_Abanico,2,7.400000,19.180800,0.000000
afluente_Abanico,control_Abanico,3,7.500000,19.440000,0.000000
afluente_Abanico,control_Abanico,4,8.000000,20.736000,0.000000
afluente_Abanico,control_Abanico,5,10.400000,26.956800,0.000000
afluente_Abanico,control_Abanico,6,11.500000,29.808000,0.000000
afluente_Abanico,control_Abanico,7,9.900000,25.660800,0.000000
afluente_Abanico,control_Abanico,8,8.800000,22.809600,0.000000
afluente_Abanico,control_Abanico,9,7.900000,20.476800,0.000000
afluente_Abanico,control_Abanico,10,7.200000,18.662400,0.000000
afluente_Abanico,control_Abanico,11,7.900000,20.476800,0.000000
afluente_Abanico,control_Abanico,12,7.500000,19.440000,0.000000
afluente_Antuco,control_Antuco,1,20.660000,53.550720,0.000000
afluente_Antuco,control_Antuco,2,12.430000,32.218560,0.000000
afluente_Antuco,control_Antuco,3,10.060000,26.075520,0.000000
afluente_Antuco,control_Antuco,4,80.038120,207.458807,0.000000
afluente_Antuco,control_Antuco,5,144.656940,374.950788,0.000000
afluente_Antuco,control_Antuco,6,148.586663,385.136631,0.000000
afluente_Antuco,control_Antuco,7,92.265428,239.151990,0.000000
afluente_Antuco,control_Antuco,8,75.574747,195.889743,0.000000
afluente_Antuco,control_Antuco,9,46.640000,120.890880,0.000000
afluente_Antuco,control_Antuco,10,48.920000,126.800640,0.000000
afluente_Antuco,control_Antuco,11,42.270000,109.563840,0.000000
afluente_Antuco,control_Antuco,12,33.170000,85.976640,0.000000
afluente_Canecol,control_Canecol,1,6.768638,17.544309,0.000000
afluente_Canecol,control_Canecol,2,5.602055,14.520526,0.000000
afluente_Canecol,control_Canecol,3,3.738849,9.691096,0.000000
afluente_Canecol,control_Canecol,4,24.385527,63.207286,0.000000
afluente_Canecol,control_Canecol,5,53.744140,139.304810,0.000000
afluente_Canecol,control_Canecol,6,55.959562,145.047184,0.000000
afluente_Canecol,control_Canecol,7,37.942378,98.346643,0.000000
afluente_Canecol,control_Canecol,8,26.599327,68.945456,0.000000
afluente_Canecol,control_Canecol,9,13.291030,34.450351,0.000000
afluente_Canecol,control_Canecol,10,11.622340,30.125106,0.000000
afluente_Canecol,control_Canecol,11,10.007629,25.939775,0.000000
afluente_Canecol,control_Canecol,12,7.145961,18.522331,0.000000
afluente_Tucapel,control_Tucapel,1,27.491362,71.257611,0.000000
afluente_Tucapel,control_Tucapel,2,22.237945,57.640754,0.000000
