central,vol_mes1_Hm3,vol_mes2_Hm3,vol_mes3_Hm3,vol_mes4_Hm3,vol_mes5_Hm3,vol_mes6_Hm3,vol_mes7_Hm3,vol_mes8_Hm3,vol_mes9_Hm3,vol_mes10_Hm3,vol_mes11_Hm3,vol_mes12_Hm3,eng_mes1_MWh,eng_mes2_MWh,eng_mes3_MWh,eng_mes4_MWh,eng_mes5_MWh,eng_mes6_MWh,eng_mes7_MWh,eng_mes8_MWh,eng_mes9_MWh,eng_mes10_MWh,eng_mes11_MWh,eng_mes12_MWh,total_vol_Hm3,total_eng_MWh
ElToro,32.663089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.336911,60.487201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69.142429,70.000000,129.629630
control_FiltracionesLaja,61.460479,61.460479,61.460479,61.460479,61.460479,78.042656,78.042656,78.042656,78.042656,78.042656,78.042656,78.042656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,853.600989,0.000000
