i,j,mes,caudal_m3s,vol_Hm3,energia_MWh
afluente_Embalse,Embalse,1,15.809707,40.978761,0.000000
afluente_Embalse,Embalse,2,14.917682,38.666631,0.000000
afluente_Embalse,Embalse,3,12.219277,31.672367,0.000000
afluente_Embalse,Embalse,4,18.825680,48.796162,0.000000
afluente_Embalse,Embalse,5,23.488775,60.882905,0.000000
afluente_Embalse,Embalse,6,23.535133,61.003064,0.000000
afluente_Embalse,Embalse,7,25.499542,66.094814,0.000000
afluente_Embalse,Embalse,8,26.626963,69.017088,0.000000
afluente_Embalse,Embalse,9,32.493076,84.222053,0.000000
afluente_Embalse,Embalse,10,45.377507,117.618497,0.000000
afluente_Embalse,Embalse,11,28.344652,73.469338,0.000000
afluente_Embalse,Embalse,12,20.777243,53.854615,0.000000
afluente_Abanico,control_Abanico,1,2.086973,5.409435,0.000000
afluente_Abanico,control_Abanico,2,1.929869,5.002220,0.000000
afluente_Abanico,control_Abanico,3,1.742781,4.517289,0.000000
afluente_Abanico,control_Abanico,4,3.461342,8.971798,0.000000
afluente_Abanico,control_Abanico,5,2.963263,7.680777,0.000000
afluente_Abanico,control_Abanico,6,2.134404,5.532375,0.000000
afluente_Abanico,control_Abanico,7,2.464742,6.388610,0.000000
afluente_Abanico,control_Abanico,8,2.281779,5.914372,0.000000
afluente_Abanico,control_Abanico,9,2.034406,5.273180,0.000000
afluente_Abanico,control_Abanico,10,2.482647,6.435021,0.000000
afluente_Abanico,control_Abanico,11,1.638995,4.248274,0.000000
afluente_Abanico,control_Abanico,12,1.917689,4.970649,0.000000
afluente_Antuco,control_Antuco,1,7.388450,19.150862,0.000000
afluente_Antuco,control_Antuco,2,6.517200,16.892582,0.000000
afluente_Antuco,control_Antuco,3,5.749060,14.901564,0.000000
afluente_Antuco,control_Antuco,4,11.757600,30.475699,0.000000
afluente_Antuco,control_Antuco,5,14.749800,38.231482,0.000000
afluente_Antuco,control_Antuco,6,18.307620,47.453351,0.000000
afluente_Antuco,control_Antuco,7,23.619360,61.221381,0.000000
afluente_Antuco,control_Antuco,8,22.377300,58.001962,0.000000
afluente_Antuco,control_Antuco,9,26.307720,68.189610,0.000000
afluente_Antuco,control_Antuco,10,24.169770,62.648044,0.000000
afluente_Antuco,control_Antuco,11,15.609780,40.460550,0.000000
afluente_Antuco,control_Antuco,12,10.862700,28.156118,0.000000
afluente_Canecol,control_Canecol,1,1.130000,2.928960,0.000000
