i,j,mes,caudal_m3s,vol_Hm3,energia_MWh
afluente_Embalse,Embalse,1,36.010000,93.337920,0.000000
afluente_Embalse,Embalse,2,23.790000,61.663680,0.000000
afluente_Embalse,Embalse,3,20.070000,52.021440,0.000000
afluente_Embalse,Embalse,4,20.500000,53.136000,0.000000
afluente_Embalse,Embalse,5,59.945688,155.379223,0.000000
afluente_Embalse,Embalse,6,65.880000,170.760960,0.000000
afluente_Embalse,Embalse,7,61.300000,158.889600,0.000000
afluente_Embalse,Embalse,8,43.830000,113.607360,0.000000
afluente_Embalse,Embalse,9,44.770000,116.043840,0.000000
afluente_Embalse,Embalse,10,79.510000,206.089920,0.000000
afluente_Embalse,Embalse,11,97.520000,252.771840,0.000000
afluente_Embalse,Embalse,12,56.230000,145.748160,0.000000
afluente_Abanico,control_Abanico,1,3.300000,8.553600,0.000000
afluente_Abanico,control_Abanico,2,3.000000,7.776000,0.000000
afluente_Abanico,control_Abanico,3,2.700000,6.998400,0.000000
afluente_Abanico,control_Abanico,4,2.500000,6.480000,0.000000
afluente_Abanico,control_Abanico,5,3.500000,9.072000,0.000000
afluente_Abanico,control_Abanico,6,3.400000,8.812800,0.000000
afluente_Abanico,control_Abanico,7,3.700000,9.590400,0.000000
afluente_Abanico,control_Abanico,8,3.000000,7.776000,0.000000
afluente_Abanico,control_Abanico,9,3.000000,7.776000,0.000000
afluente_Abanico,control_Abanico,10,3.300000,8.553600,0.000000
afluente_Abanico,control_Abanico,11,3.900000,10.108800,0.000000
afluente_Abanico,control_Abanico,12,2.800000,7.257600,0.000000
afluente_Antuco,control_Antuco,1,19.990000,51.814080,0.000000
afluente_Antuco,control_Antuco,2,13.510000,35.017920,0.000000
afluente_Antuco,control_Antuco,3,11.430000,29.626560,0.000000
afluente_Antuco,control_Antuco,4,12.450000,32.270400,0.000000
afluente_Antuco,control_Antuco,5,56.648003,146.831625,0.000000
afluente_Antuco,control_Antuco,6,60.230639,156.117816,0.000000
afluente_Antuco,control_Antuco,7,82.658675,214.251285,0.000000
afluente_Antuco,control_Antuco,8,60.870000,157.775040,0.000000
afluente_Antuco,control_Antuco,9,45.430000,117.754560,0.000000
afluente_Antuco,control_Antuco,10,68.990000,178.822080,0.000000
afluente_Antuco,control_Antuco,11,68.380000,177.240960,0.000000
afluente_Antuco,control_Antuco,12,36.670000,95.048640,0.000000
afluente_Canecol,control_Canecol,1,5.162416,13.380981,0.000000
afluente_Canecol,control_Canecol,2,4.219010,10.935673,0.000000
afluente_Canecol,control_Canecol,3,3.732486,9.674604,0.000000
afluente_Canecol,control_Canecol,4,4.748152,12.307209,0.000000
afluente_Canecol,control_Canecol,5,18.715603,48.510842,0.000000
afluente_Canecol,control_Canecol,6,20.060535,51.996907,0.000000
afluente_Canecol,control_Canecol,7,25.392790,65.818111,0.000000
afluente_Canecol,control_Canecol,8,15.682588,40.649268,0.000000
afluente_Canecol,control_Canecol,9,12.850035,33.307291,0.000000
afluente_Canecol,control_Canecol,10,18.128095,46.988022,0.000000
afluente_Canecol,control_Canecol,11,12.119953,31.414919,0.000000
afluente_Canecol,control_Canecol,12,7.392646,19.161738,0.000000
afluente_Tucapel,control_Tucapel,1,20.907584,54.192459,0.000000
afluente_Tucapel,control_Tucapel,2,16.420990,42.563207,0.000000
afluente_Tucapel,control_Tucapel,3,9.047514,23.451156,0.000000
afluente_Tucapel,control_Tucapel,4,4.441848,11.513271,0.000000
afluente_Tucapel,control_Tucapel,5,34.280706,88.855589,0.000000
afluente_Tucapel,control_Tucapel,6,12.728826,32.993117,0.000000
afluente_Tucapel,control_Tucapel,7,28.688535,74.360684,0.000000
afluente_Tucapel,control_Tucapel,8,13.217412,34.259532,0.000000
afluente_Tucapel,control_Tucapel,9,14.489965,37.557989,0.000000
afluente_Tucapel,control_Tucapel,10,25.281905,65.530698,0.000000
afluente_Tucapel,control_Tucapel,11,27.700047,71.798521,0.000000
afluente_Tucapel,control_Tucapel,12,17.907354,46.415862,0.000000
