i,j,mes,caudal_m3s,vol_Hm3,energia_MWh
afluente_Embalse,Embalse,1,42.480000,110.108160,0.000000
afluente_Embalse,Embalse,2,23.080000,59.823360,0.000000
afluente_Embalse,Embalse,3,18.410000,47.718720,0.000000
afluente_Embalse,Embalse,4,16.360000,42.405120,0.000000
afluente_Embalse,Embalse,5,21.560000,55.883520,0.000000
afluente_Embalse,Embalse,6,54.170000,140.408640,0.000000
afluente_Embalse,Embalse,7,101.540000,263.191680,0.000000
afluente_Embalse,Embalse,8,77.300000,200.361600,0.000000
afluente_Embalse,Embalse,9,80.190000,207.852480,0.000000
afluente_Embalse,Embalse,10,128.915058,334.147829,0.000000
afluente_Embalse,Embalse,11,151.500000,392.688000,0.000000
afluente_Embalse,Embalse,12,97.182584,251.897258,0.000000
afluente_Abanico,control_Abanico,1,4.000000,10.368000,0.000000
afluente_Abanico,control_Abanico,2,4.000000,10.368000,0.000000
afluente_Abanico,control_Abanico,3,3.800000,9.849600,0.000000
afluente_Abanico,control_Abanico,4,3.300000,8.553600,0.000000
afluente_Abanico,control_Abanico,5,3.000000,7.776000,0.000000
afluente_Abanico,control_Abanico,6,3.700000,9.590400,0.000000
afluente_Abanico,control_Abanico,7,4.500000,11.664000,0.000000
afluente_Abanico,control_Abanico,8,4.700000,12.182400,0.000000
afluente_Abanico,control_Abanico,9,4.600000,11.923200,0.000000
afluente_Abanico,control_Abanico,10,5.400000,13.996800,0.000000
afluente_Abanico,control_Abanico,11,6.500000,16.848000,0.000000
afluente_Abanico,control_Abanico,12,4.800000,12.441600,0.000000
afluente_Antuco,control_Antuco,1,23.620000,61.223040,0.000000
afluente_Antuco,control_Antuco,2,13.360000,34.629120,0.000000
afluente_Antuco,control_Antuco,3,9.760000,25.297920,0.000000
afluente_Antuco,control_Antuco,4,10.340000,26.801280,0.000000
afluente_Antuco,control_Antuco,5,8.740000,22.654080,0.000000
afluente_Antuco,control_Antuco,6,40.830000,105.831360,0.000000
afluente_Antuco,control_Antuco,7,109.944470,284.976065,0.000000
afluente_Antuco,control_Antuco,8,60.041813,155.628379,0.000000
afluente_Antuco,control_Antuco,9,94.351252,244.558444,0.000000
afluente_Antuco,control_Antuco,10,125.984942,326.552971,0.000000
afluente_Antuco,control_Antuco,11,99.829662,258.758484,0.000000
afluente_Antuco,control_Antuco,12,54.317416,140.790742,0.000000
afluente_Canecol,control_Canecol,1,5.589543,14.488096,0.000000
afluente_Canecol,control_Canecol,2,4.631984,12.006101,0.000000
afluente_Canecol,control_Canecol,3,4.325006,11.210415,0.000000
afluente_Canecol,control_Canecol,4,6.080603,15.760923,0.000000
afluente_Canecol,control_Canecol,5,6.019033,15.601335,0.000000
afluente_Canecol,control_Canecol,6,15.764114,40.860583,0.000000
afluente_Canecol,control_Canecol,7,38.911874,100.859577,0.000000
afluente_Canecol,control_Canecol,8,20.698405,53.650266,0.000000
afluente_Canecol,control_Canecol,9,41.131551,106.612981,0.000000
afluente_Canecol,control_Canecol,10,33.403799,86.582647,0.000000
afluente_Canecol,control_Canecol,11,19.978944,51.785423,0.000000
afluente_Canecol,control_Canecol,12,11.073441,28.702358,0.000000
afluente_Tucapel,control_Tucapel,1,36.450457,94.479584,0.000000
afluente_Tucapel,control_Tucapel,2,36.348016,94.214059,0.000000
afluente_Tucapel,control_Tucapel,3,32.944994,85.393425,0.000000
afluente_Tucapel,control_Tucapel,4,21.759397,56.400357,0.000000
