i,j,mes,caudal_m3s,vol_Hm3,energia_MWh
afluente_Embalse,Embalse,1,32.278182,83.665047,0.000000
afluente_Embalse,Embalse,2,24.120207,62.519576,0.000000
afluente_Embalse,Embalse,3,14.791891,38.340582,0.000000
afluente_Embalse,Embalse,4,20.398032,52.871698,0.000000
afluente_Embalse,Embalse,5,21.362661,55.372017,0.000000
afluente_Embalse,Embalse,6,45.823903,118.775557,0.000000
afluente_Embalse,Embalse,7,50.675259,131.350272,0.000000
afluente_Embalse,Embalse,8,66.236061,171.683871,0.000000
afluente_Embalse,Embalse,9,47.185990,122.306085,0.000000
afluente_Embalse,Embalse,10,95.136021,246.592566,0.000000
afluente_Embalse,Embalse,11,132.822072,344.274812,0.000000
afluente_Embalse,Embalse,12,73.652387,190.906986,0.000000
afluente_Abanico,control_Abanico,1,2.880000,7.464960,0.000000
afluente_Abanico,control_Abanico,2,2.806000,7.273152,0.000000
afluente_Abanico,control_Abanico,3,2.370000,6.143040,0.000000
afluente_Abanico,control_Abanico,4,2.530000,6.557760,0.000000
afluente_Abanico,control_Abanico,5,2.965000,7.685280,0.000000
afluente_Abanico,control_Abanico,6,3.876000,10.046592,0.000000
afluente_Abanico,control_Abanico,7,4.156000,10.772352,0.000000
afluente_Abanico,control_Abanico,8,5.094000,13.203648,0.000000
afluente_Abanico,control_Abanico,9,3.868000,10.025856,0.000000
afluente_Abanico,control_Abanico,10,4.574000,11.855808,0.000000
afluente_Abanico,control_Abanico,11,5.748000,14.898816,0.000000
afluente_Abanico,control_Abanico,12,4.173500,10.817712,0.000000
afluente_Antuco,control_Antuco,1,17.626300,45.687370,0.000000
afluente_Antuco,control_Antuco,2,10.067730,26.095556,0.000000
afluente_Antuco,control_Antuco,3,7.803100,20.225635,0.000000
afluente_Antuco,control_Antuco,4,8.836900,22.905245,0.000000
afluente_Antuco,control_Antuco,5,15.004920,38.892753,0.000000
afluente_Antuco,control_Antuco,6,44.482805,115.299430,0.000000
afluente_Antuco,control_Antuco,7,57.871309,150.002434,0.000000
afluente_Antuco,control_Antuco,8,97.476775,252.659802,0.000000
