i,j,mes,caudal_m3s,vol_Hm3,energia_MWh
afluente_Embalse,Embalse,1,24.871175,64.466085,0.000000
afluente_Embalse,Embalse,2,18.446706,47.813861,0.000000
afluente_Embalse,Embalse,3,19.972000,51.767425,0.000000
afluente_Embalse,Embalse,4,13.757235,35.658752,0.000000
afluente_Embalse,Embalse,5,12.740929,33.024487,0.000000
afluente_Embalse,Embalse,6,41.157323,106.679782,0.000000
afluente_Embalse,Embalse,7,39.989500,103.652784,0.000000
afluente_Embalse,Embalse,8,43.139409,111.817347,0.000000
afluente_Embalse,Embalse,9,49.073961,127.199708,0.000000
afluente_Embalse,Embalse,10,101.680611,263.556145,0.000000
afluente_Embalse,Embalse,11,99.036531,256.702687,0.000000
afluente_Embalse,Embalse,12,54.329853,140.822979,0.000000
afluente_Abanico,control_Abanico,1,2.984000,7.734528,0.000000
afluente_Abanico,control_Abanico,2,2.757000,7.146144,0.000000
afluente_Abanico,control_Abanico,3,2.622500,6.797520,0.000000
afluente_Abanico,control_Abanico,4,1.840000,4.769280,0.000000
afluente_Abanico,control_Abanico,5,1.769500,4.586544,0.000000
afluente_Abanico,control_Abanico,6,2.600000,6.739200,0.000000
afluente_Abanico,control_Abanico,7,2.770000,7.179840,0.000000
afluente_Abanico,control_Abanico,8,3.206000,8.309952,0.000000
afluente_Abanico,control_Abanico,9,3.524000,9.134208,0.000000
afluente_Abanico,control_Abanico,10,4.357000,11.293344,0.000000
afluente_Abanico,control_Abanico,11,3.722000,9.647424,0.000000
afluente_Abanico,control_Abanico,12,3.710000,9.616320,0.000000
afluente_Antuco,control_Antuco,1,13.502100,34.997443,0.000000
afluente_Antuco,control_Antuco,2,8.789800,22.783162,0.000000
afluente_Antuco,control_Antuco,3,9.009850,23.353531,0.000000
afluente_Antuco,control_Antuco,4,6.196500,16.061328,0.000000
afluente_Antuco,control_Antuco,5,5.608900,14.538269,0.000000
afluente_Antuco,control_Antuco,6,31.037155,80.448306,0.000000
afluente_Antuco,control_Antuco,7,38.809420,100.594017,0.000000
afluente_Antuco,control_Antuco,8,60.553507,156.954691,0.000000
afluente_Antuco,control_Antuco,9,55.443130,143.708593,0.000000
afluente_Antuco,control_Antuco,10,70.597000,182.987424,0.000000
afluente_Antuco,control_Antuco,11,61.321300,158.944810,0.000000
afluente_Antuco,control_Antuco,12,28.707720,74.410410,0.000000
afluente_Canecol,control_Canecol,1,1.570000,4.069440,0.000000
afluente_Canecol,control_Canecol,2,1.750000,4.536000,0.000000
afluente_Canecol,control_Canecol,3,2.740000,7.102080,0.000000
afluente_Canecol,control_Canecol,4,1.210000,3.136320,0.000000
afluente_Canecol,control_Canecol,5,1.140000,2.954880,0.000000
afluente_Canecol,control_Canecol,6,21.400000,55.468800,0.000000
afluente_Canecol,control_Canecol,7,13.700000,35.510400,0.000000
afluente_Canecol,control_Canecol,8,20.600000,53.395200,0.000000
afluente_Canecol,control_Canecol,9,12.900000,33.436800,0.000000
afluente_Canecol,control_Canecol,10,10.400000,26.956800,0.000000
afluente_Canecol,control_Canecol,11,6.630000,17.184960,0.000000
afluente_Canecol,control_Canecol,12,6.410000,16.614720,0.000000
afluente_Tucapel,control_Tucapel,1,30.677227,79.515374,0.000000
afluente_Tucapel,control_Tucapel,2,21.722670,56.305160,0.000000
afluente_Tucapel,control_Tucapel,3,21.251366,55.083540,0.000000
