i,j,mes,caudal_m3s,vol_Hm3,energia_MWh
afluente_Embalse,Embalse,1,32.112253,83.234959,0.000000
afluente_Embalse,Embalse,2,22.258151,57.693128,0.000000
afluente_Embalse,Embalse,3,20.076199,52.037508,0.000000
afluente_Embalse,Embalse,4,40.528725,105.050455,0.000000
afluente_Embalse,Embalse,5,37.183614,96.379927,0.000000
afluente_Embalse,Embalse,6,81.754130,211.906704,0.000000
afluente_Embalse,Embalse,7,107.440781,278.486504,0.000000
afluente_Embalse,Embalse,8,54.344561,140.861103,0.000000
afluente_Embalse,Embalse,9,106.572296,276.235390,0.000000
afluente_Embalse,Embalse,10,125.780669,326.023494,0.000000
afluente_Embalse,Embalse,11,109.634643,284.172996,0.000000
afluente_Embalse,Embalse,12,74.571383,193.289026,0.000000
afluente_Abanico,control_Abanico,1,4.893875,12.684924,0.000000
afluente_Abanico,control_Abanico,2,3.947490,10.231894,0.000000
afluente_Abanico,control_Abanico,3,4.220875,10.940508,0.000000
afluente_Abanico,control_Abanico,4,3.272240,8.481646,0.000000
afluente_Abanico,control_Abanico,5,4.005560,10.382412,0.000000
afluente_Abanico,control_Abanico,6,4.402110,11.410269,0.000000
afluente_Abanico,control_Abanico,7,5.002775,12.967193,0.000000
afluente_Abanico,control_Abanico,8,5.194955,13.465323,0.000000
afluente_Abanico,control_Abanico,9,4.422750,11.463768,0.000000
afluente_Abanico,control_Abanico,10,6.082920,15.766929,0.000000
afluente_Abanico,control_Abanico,11,5.989871,15.525747,0.000000
afluente_Abanico,control_Abanico,12,5.966975,15.466399,0.000000
afluente_Antuco,control_Antuco,1,17.655750,45.763704,0.000000
afluente_Antuco,control_Antuco,2,11.514920,29.846673,0.000000
afluente_Antuco,control_Antuco,3,8.343700,21.626870,0.000000
afluente_Antuco,control_Antuco,4,22.647300,58.701802,0.000000
afluente_Antuco,control_Antuco,5,30.721180,79.629299,0.000000
afluente_Antuco,control_Antuco,6,91.180710,236.340399,0.000000
afluente_Antuco,control_Antuco,7,126.446059,327.748185,0.000000
afluente_Antuco,control_Antuco,8,42.910800,111.224794,0.000000
